id_str,created_at,text
610704372415229952,Tue Jun 16 07:04:03 +0000 2015,"""@realJoeMurray: Hopefully tomorrow is the day we start to make America great again! Looking forward to it, @realDonaldTrump. #Trump2016"
610704441872883712,Tue Jun 16 07:04:19 +0000 2015,"""@brentcfritz: Today is the day America becomes great again. @realDonaldTrump has some huge news that will shock the world #Trump4President"""
610710557285556224,Tue Jun 16 07:28:37 +0000 2015,"""@insuraider: @realDonaldTrump is going to make Hillary's head spin tomorrow morning. Presidential Debate? Yes, please. #Trump2016"""
610710626269306880,Tue Jun 16 07:28:54 +0000 2015,"""@DONJUBBER: @realDonaldTrump Shock the world!#Trump4President"""
610710697140441088,Tue Jun 16 07:29:11 +0000 2015,"""@PianoBecca: @realDonaldTrump No Amercian, really, can impact such staggering influence. Stay True! Great and savvy bizman! America: GREAT!"
610710792846053376,Tue Jun 16 07:29:34 +0000 2015,"""@isabelsimon80: @realDonaldTrump @brentcfritz Donald has as good of a chance as anyone else.. 👍People like him...NO MORE POLITICIAN'S..."""
610710861448114176,Tue Jun 16 07:29:50 +0000 2015,"""@Knight276: @realDonaldTrump @realJoeMurray America can be great again with trump at the helm. Confidence counts."""
610710925088301056,Tue Jun 16 07:30:05 +0000 2015,"""@_Snurk: @realDonaldTrump Love it! Always respect FIGHTERS over overrated loser POLITITIANS!! Inspire GREATNESS! #TRUMP #2016"""
610711577503920129,Tue Jun 16 07:32:41 +0000 2015,"""@rg_radical99: Counting down the hours to @realDonaldTrump announcement! Ready for America to become great again. Supporting you Mr. Trump."
610711874921984000,Tue Jun 16 07:33:52 +0000 2015,"""@Rhumeey: I really would want to see what America would look like...with @realDonaldTrump at the helm of affairs. https://t.co/zfvJpyjVoH"""
610711915552206848,Tue Jun 16 07:34:01 +0000 2015,"""@NickyFlash2: #Trump4President #Trump2016 @realDonaldTrump"""
610711969247719424,Tue Jun 16 07:34:14 +0000 2015,"""@Jarod_Pitmon10: I am a full supporter of #Trump2016 @realDonaldTrump is a guy that will help this country"""
610712147199397888,Tue Jun 16 07:34:57 +0000 2015,"""@premuse: @realDonaldTrump Let's take this country back. #TrumpLeeds2016"""
